Stock,Rows Used,Train Rows,Validation Rows,Test Rows,Threshold Used,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1 Score,Majority Class Baseline Accuracy,Always Up Baseline Accuracy
BA,2599,2065,252,282,0.01,0.4716312056737589,0.47888471177944864,0.45610780911351334,0.47888471177944864,0.45042319890945876,0.49645390070921985,0.49645390070921985
CVX,2599,2065,252,282,0.01,0.3971631205673759,0.34795309386812656,0.34917378917378916,0.34795309386812656,0.34737823528056594,0.48226950354609927,0.48226950354609927
XOM,2599,2065,252,282,0.01,0.3617021276595745,0.3638016610152833,0.38132624378626123,0.3638016610152833,0.32875291677469537,0.49645390070921985,0.49645390070921985
MSFT,2599,2065,252,282,0.01,0.3191489361702128,0.34840736070244266,0.39917513681075745,0.34840736070244266,0.3175238458257326,0.4148936170212766,0.4148936170212766
JNJ,2599,2065,252,282,0.01,0.32269503546099293,0.3526640675763482,0.3692590347590767,0.3526640675763482,0.316999370886566,0.5390070921985816,0.5390070921985816
NVDA,2599,2065,252,282,0.01,0.44680851063829785,0.307311903920876,0.2619047619047619,0.307311903920876,0.2765606200509248,0.5283687943262412,0.5283687943262412
WMT,2599,2065,252,282,0.01,0.3617021276595745,0.3413224958076369,0.3229468599033816,0.3413224958076369,0.2749753366693212,0.5035460992907801,0.5035460992907801
TSLA,2599,2065,252,282,0.01,0.4574468085106383,0.35097640530351165,0.3861051883439943,0.35097640530351165,0.25003885003885007,0.4574468085106383,0.4574468085106383
PFE,2599,2065,252,282,0.01,0.4148936170212766,0.33968253968253964,0.4702380952380952,0.33968253968253964,0.20655388619425055,0.4078014184397163,0.4078014184397163
META,2599,2065,252,282,0.01,0.41134751773049644,0.3333333333333333,0.13711583924349882,0.3333333333333333,0.19430485762144054,0.4219858156028369,0.4219858156028369
AMZN,2599,2065,252,282,0.01,0.40070921985815605,0.3333333333333333,0.13356973995271867,0.3333333333333333,0.19071729957805908,0.44680851063829785,0.44680851063829785
AAPL,2599,2065,252,282,0.01,0.3829787234042553,0.3333333333333333,0.1285714285714286,0.3333333333333333,0.18556701030927836,0.43617021276595747,0.43617021276595747
GS,2599,2065,252,282,0.01,0.2978723404255319,0.3360710137713622,0.43115942028985504,0.3360710137713622,0.16417132216014899,0.5212765957446809,0.5212765957446809
JPM,2599,2065,252,282,0.01,0.31560283687943264,0.3333333333333333,0.10520094562647754,0.3333333333333333,0.15992812219227312,0.549645390070922,0.549645390070922
GOOGL,2599,2065,252,282,0.01,0.30141843971631205,0.3333333333333333,0.10047281323877068,0.3333333333333333,0.15440508628519528,0.5177304964539007,0.5177304964539007
