Date,Predicted #1,Prob #1,Predicted #2,Prob #2,Predicted #3,Prob #3,Actual Best,Actual Return,Correct
2025-01-03,TSLA,0.805,GOOGL,0.607,BA,0.586,NVDA,5.445,✘
2025-01-10,TSLA,0.615,NVDA,0.588,PFE,0.582,CVX,3.578,✘
2025-01-17,MSFT,0.65,PFE,0.63,AAPL,0.608,GS,11.775,✘
2025-01-24,AAPL,0.579,META,0.48,BA,0.471,META,5.666,✘
2025-01-31,META,0.604,CVX,0.588,MSFT,0.558,META,6.439,✔
2025-02-07,META,0.65,AMZN,0.559,AAPL,0.548,NVDA,8.137,✘
2025-02-14,GS,0.621,JPM,0.6,META,0.588,AAPL,7.455,✘
2025-02-21,JPM,0.671,NVDA,0.669,TSLA,0.584,JNJ,3.939,✘
2025-02-28,TSLA,0.673,BA,0.641,JPM,0.637,WMT,4.041,✘
2025-03-07,GOOGL,0.599,NVDA,0.57,JNJ,0.561,GOOGL,2.102,✔
2025-03-14,JNJ,0.48,AMZN,0.464,TSLA,0.449,NVDA,7.969,✘
2025-03-21,TSLA,0.77,GS,0.625,PFE,0.612,BA,10.074,✘
2025-03-28,CVX,0.625,BA,0.587,XOM,0.584,TSLA,5.967,✘
2025-04-04,META,0.785,TSLA,0.764,MSFT,0.744,WMT,-2.302,✘
2025-04-11,JPM,0.385,JNJ,0.385,GOOGL,0.356,NVDA,17.623,✘
2025-04-18,MSFT,0.546,WMT,0.543,TSLA,0.493,JNJ,3.783,✘
2025-04-25,BA,0.709,TSLA,0.708,WMT,0.687,TSLA,18.055,✘
2025-05-02,BA,0.626,GOOGL,0.558,TSLA,0.553,MSFT,11.083,✘
2025-05-09,PFE,0.521,MSFT,0.515,CVX,0.511,BA,5.063,✘
2025-05-16,BA,0.666,TSLA,0.656,GS,0.653,TSLA,17.341,✘
2025-05-23,GS,0.668,NVDA,0.61,AMZN,0.6,PFE,2.146,✘
2025-05-30,TSLA,0.743,CVX,0.738,XOM,0.637,META,3.258,✘
2025-06-06,TSLA,0.676,NVDA,0.67,JPM,0.588,META,7.756,✘
2025-06-13,META,0.638,NVDA,0.629,TSLA,0.626,TSLA,10.222,✘
2025-06-20,XOM,0.6,GOOGL,0.507,PFE,0.479,GS,4.443,✘
2025-06-27,PFE,0.65,META,0.634,JPM,0.629,NVDA,9.663,✘
2025-07-04,CVX,0.56,AAPL,0.475,AMZN,0.473,AAPL,6.202,✘
2025-07-11,AAPL,0.652,PFE,0.621,GS,0.603,BA,5.057,✘
2025-07-18,NVDA,0.649,JPM,0.633,WMT,0.625,TSLA,5.148,✘
2025-07-25,NVDA,0.743,JNJ,0.682,BA,0.662,GOOGL,4.388,✘
2025-08-01,MSFT,0.657,GOOGL,0.638,BA,0.584,META,5.238,✘
2025-08-08,MSFT,0.668,AAPL,0.663,NVDA,0.66,AAPL,13.326,✘
2025-08-15,AAPL,0.583,XOM,0.581,AMZN,0.557,AMZN,3.745,✘
2025-08-22,WMT,0.62,CVX,0.591,PFE,0.578,XOM,4.498,✘
2025-08-29,AMZN,0.622,JNJ,0.618,META,0.606,GOOGL,3.309,✘
2025-09-05,GS,0.716,AMZN,0.645,AAPL,0.628,GOOGL,10.375,✘
2025-09-12,GS,0.714,GOOGL,0.686,NVDA,0.684,TSLA,12.855,✘
2025-09-19,TSLA,0.687,JPM,0.635,GS,0.614,TSLA,7.61,✔
2025-09-26,TSLA,0.792,GOOGL,0.698,META,0.606,AAPL,4.057,✘
2025-10-03,GOOGL,0.654,AMZN,0.643,TSLA,0.639,PFE,15.194,✘
2025-10-10,TSLA,0.685,CVX,0.653,META,0.652,JNJ,1.103,✘
2025-10-17,GS,0.687,MSFT,0.684,AAPL,0.676,GOOGL,7.072,✘
2025-10-24,GOOGL,0.621,WMT,0.618,TSLA,0.612,AMZN,5.243,✘
2025-10-31,GS,0.639,GOOGL,0.592,META,0.568,AMZN,8.925,✘
2025-11-07,GOOGL,0.675,NVDA,0.623,TSLA,0.615,XOM,2.501,✘
2025-11-14,CVX,0.484,XOM,0.482,PFE,0.465,JNJ,5.017,✘
2025-11-21,META,0.631,XOM,0.62,PFE,0.614,GOOGL,8.411,✘
2025-11-28,GOOGL,0.745,CVX,0.629,BA,0.625,TSLA,9.993,✘
2025-12-05,AMZN,0.612,GS,0.565,GOOGL,0.558,BA,6.82,✘
2025-12-12,JNJ,0.645,GOOGL,0.624,GS,0.588,JNJ,4.779,✔
2025-12-19,WMT,0.65,PFE,0.614,TSLA,0.581,TSLA,4.846,✘
2025-12-26,TSLA,0.75,BA,0.71,GS,0.653,NVDA,5.271,✘
2026-01-02,NVDA,0.579,MSFT,0.527,BA,0.51,BA,5.235,✘
2026-01-09,XOM,0.567,BA,0.562,MSFT,0.547,AMZN,9.219,✘
2026-01-16,GOOGL,0.649,AAPL,0.624,AMZN,0.618,JNJ,6.982,✘
2026-01-23,BA,0.668,JPM,0.656,PFE,0.636,META,6.209,✘
2026-01-30,META,0.594,BA,0.593,JPM,0.572,META,8.765,✔
2026-02-06,CVX,0.707,TSLA,0.621,XOM,0.619,WMT,10.106,✘
2026-02-13,WMT,0.682,JNJ,0.677,NVDA,0.668,WMT,2.066,✔
2026-02-20,PFE,0.632,AAPL,0.632,AMZN,0.618,AMZN,5.694,✘
2026-02-27,PFE,0.621,GS,0.56,XOM,0.544,WMT,4.033,✘
