Date,LSTM_Return,XGBoost_Return,EqualWeight_Return
2025-01-03,0.009136437669110608,0.004871167650977452,-0.0026288589576880066
2025-01-10,-0.031125498167609827,-0.03040328083437869,-0.023701793612273536
2025-01-17,0.015213876404175004,0.00988158100001539,0.012178288597751497
2025-01-24,0.02708582018099796,0.02070820844454516,0.020058984343306642
2025-01-31,-0.06061260895121424,-0.05655015327608013,-0.02659952790727245
2025-02-07,0.006522465458923286,0.004329422046798315,-0.018867694439075898
2025-02-14,0.031970620369849,0.0321455269012072,0.02761557334642528
2025-02-21,-0.023798245731612613,-0.02332909883049915,-0.022294151730293477
2025-02-28,-0.04159223155977405,-0.0454749076403365,-0.037080350930395564
2025-03-07,-0.048552134670548176,-0.04455794740167224,-0.031796653119999865
2025-03-14,0.0068754045584046575,-0.002827182797482671,-0.018810789894106453
2025-03-21,-0.009479413761769109,-0.006995977013071146,-0.00422895841094535
2025-03-28,-0.04031327575665769,-0.041609704908889454,-0.03569167488556144
2025-04-04,-0.10485582577739032,-0.10443222478355789,-0.09897075653639249
2025-04-11,0.11034292929052347,0.10796071689478318,0.09359350045807223
2025-04-18,-0.06010376657495052,-0.05217000918802321,-0.04971738376494056
2025-04-25,0.08138065039667539,0.07856682614074535,0.07760708966823536
2025-05-02,0.03852852874530728,0.03943363608488972,0.028302494474833576
2025-05-09,0.0023091586973506308,-0.011723150295898611,-0.011812808020362352
2025-05-16,0.09282706947915223,0.09559724592760926,0.08263359347580276
2025-05-23,-0.025334974670153616,-0.028156347679021913,-0.024740415631336752
2025-05-30,0.024872270331266384,0.025534615729118325,0.023969640641675484
2025-06-06,0.03359885071704416,0.03026301232406107,0.027773734529099904
2025-06-13,-0.0022648115336118147,-0.004141408308455626,-0.005262802648472342
2025-06-20,0.0027481284651949536,-0.0014050523682684248,-0.0031588702489684364
2025-06-27,0.06226573266771514,0.057362989738913614,0.05442371064218837
2025-07-04,0.012978044474398367,0.018104192622833255,0.016807149910531116
2025-07-11,0.014894404754526941,0.013281336954243307,0.008738255916653292
2025-07-18,0.022398496443317092,0.022895207334593395,0.01816836223468843
2025-07-25,0.013747553118835257,0.013707635561419618,0.018728587388650908
2025-08-01,-0.017047127661532182,-0.013533554519999604,-0.02506683950085498
2025-08-08,0.04568982875208983,0.054513444656633395,0.0565923931522322
2025-08-15,0.004441377287158415,0.0012210792441113543,0.008726621223748277
2025-08-22,-0.0140116800932569,-0.013767570885444582,-0.010757128851163046
2025-08-29,-0.0026632303176188686,0.00011502333695834199,0.006110396649095385
2025-09-05,-0.005043906839936191,-3.689645363694552e-05,0.017327902895254987
2025-09-12,0.02571977648840905,0.026990252322905313,0.015601234732795243
2025-09-19,0.015077023968619933,0.01954436072697771,0.026103097544086067
2025-09-26,-0.007921273364627291,-0.000632106304670939,-0.00919523530717432
2025-10-03,0.021972068909269112,0.022728108005669198,0.013680585116705847
2025-10-10,-0.023061399454173438,-0.02672945537483549,-0.02712556661415788
2025-10-17,0.007410598244663266,0.014375917256863642,0.01788108539235478
2025-10-24,0.02827523747361996,0.026367876618001006,0.03128516413151373
2025-10-31,0.05557164839874157,0.050433511485813425,0.05517315198080745
2025-11-07,-0.036279558741479825,-0.037270825803601554,-0.025199347482913415
2025-11-14,0.003593309617533719,0.00919251392009179,0.000770906649469705
2025-11-21,-0.04503582628319054,-0.03478306099341515,-0.022577059723050644
2025-11-28,0.02694049816897323,0.028344634269244023,0.03679660331809312
2025-12-05,0.0032787092412690285,0.0052934366426854625,-1.822683169598778e-05
2025-12-12,-0.022683961151652186,-0.025412525053485097,-0.02074607752942019
2025-12-19,0.014286238854457935,0.012070073521828054,0.006245831592519548
2025-12-26,0.02545299063411788,0.023472161851920543,0.01976415435936223
2026-01-02,-0.016422420138267432,-0.013783998619688318,-0.013592115020915996
2026-01-09,0.01274593082374893,7.832651158770285e-07,0.017068220847220348
2026-01-16,-0.015698851839772977,-0.012730634443174559,-0.015531452877086658
2026-01-23,0.002070628176728709,-0.0005256524379304932,-0.002790146707267672
2026-01-30,-0.0045682810512215,0.00028129524451213014,0.003872828706792111
2026-02-06,-0.04665747775213515,-0.031222341962538668,-0.03850378775341945
2026-02-13,-0.02962814231715329,-0.0388535404700862,-0.04031668201194898
2026-02-20,0.02871206384950533,0.026908868018520167,0.029704249409036935
